temporada_id;rodada_id;clube_id;clube_mand;clube_gol_marc;clube_gol_sof;clube_rod_pt;clube_pt;clube_saldo;clube_pos;clube_pt_5_rod;adv_gol_marc;adv_gol_sof;adv_rod_pt;adv_pt;adv_saldo;adv_pos;adv_pt_5_rod;dif_gol_marc;dif_gol_sof;dif_rod_pt;dif_pt;dif_saldo;dif_pos;dif_pt_5_rod
2023;23;262;1;36;27;3;39;9;4;8;32;26;1;34;6;7;7;4;1;2;5;3;-3;1
2023;23;263;0;39;13;0;51;26;1;8;25;19;1;31;6;9;10;14;-6;-1;20;20;-8;-2
2023;23;264;0;22;23;1;27;-1;12;7;25;21;0;32;4;8;9;-3;2;1;-5;-5;4;-2
2023;23;265;0;23;29;1;22;-6;16;7;21;42;1;15;-21;20;1;2;-13;0;7;15;-4;6
2023;23;266;0;31;22;3;38;9;5;10;16;31;1;18;-15;18;8;15;-9;2;20;24;-13;2
2023;23;267;1;16;31;1;18;-15;18;8;31;22;3;38;9;5;10;-15;9;-2;-20;-24;13;-2
2023;23;275;1;37;17;1;41;20;2;10;20;29;1;25;-9;15;9;17;-12;0;16;29;-13;1
2023;23;276;0;25;21;1;29;4;10;3;17;24;1;26;-7;14;3;8;-3;0;3;11;-4;0
2023;23;277;1;21;36;0;21;-15;17;4;20;20;1;26;0;13;3;1;16;-1;-5;-15;4;1
2023;23;280;1;29;21;1;36;8;6;8;34;25;3;40;9;3;9;-5;-4;-2;-4;-1;3;-1
2023;23;282;1;25;19;1;31;6;9;10;39;13;0;51;26;1;8;-14;6;1;-20;-20;8;2
2023;23;283;0;20;20;1;26;0;13;3;21;36;0;21;-15;17;4;-1;-16;1;5;15;-4;-1
2023;23;284;0;34;25;3;40;9;3;9;29;21;1;36;8;6;8;5;4;2;4;1;-3;1
2023;23;284;0;34;25;3;40;9;3;9;21;27;0;28;-6;11;3;13;-2;3;12;15;-8;6
2023;23;285;1;17;24;1;26;-7;14;3;25;21;1;29;4;10;3;-8;3;0;-3;-11;4;0
2023;23;290;0;20;29;1;25;-9;15;9;37;17;1;41;20;2;10;-17;12;0;-16;-29;13;-1
2023;23;293;0;32;26;1;34;6;7;7;36;27;3;39;9;4;8;-4;-1;-2;-5;-3;3;-1
2023;23;294;1;21;42;1;15;-21;20;1;23;29;1;22;-6;16;7;-2;13;0;-7;-15;4;-6
2023;23;356;1;25;21;0;32;4;8;9;22;23;1;27;-1;12;7;3;-2;-1;5;5;-4;2
2023;23;1371;1;21;27;0;28;-6;11;3;34;25;3;40;9;3;9;-13;2;-3;-12;-15;8;-6
