clube_id;clube_nom_cartola;clube_nome;clube_slug;clube_id
262;Flamengo;Flamengo;FLA;262
263;Botafogo;Botafogo;BOT;263
264;Corinthians;Corinthians;COR;264
265;Bahia;Bahia;BAH;265
266;Fluminense;Fluminense;FLU;266
267;Vasco;Vasco;VAS;267
275;Palmeiras;Palmeiras;PAL;275
276;São Paulo;São Paulo;SAO;276
277;Santos;Santos;SAN;277
280;Bragantino;Bragantino;BGT;280
282;Atlético-MG;Atlético-MG;CAM;282
283;Cruzeiro;Cruzeiro;CRU;283
284;Grêmio;Grêmio;GRE;284
285;Internacional;Internacional;INT;285
286;Juventude;Juventude;JUV;286
287;Vitória;Vitória;VIT;287
288;Criciúma;Criciúma;CRI;288
290;Goiás;Goiás;GOI;290
292;Sport Recife;Sport;SPO;292
293;Athletico-PR;Athletico-PR;CAP;293
294;Coritiba;Coritiba;CFC;294
303;Ponte Preta;Ponte Preta;PON;303
314;Avaí;Avaí;AVA;314
315;Chapecoense;Chapecoense;CHA;315
316;Figueirense;Figueirense;FIG;316
317;Joinville;Joinville;JEC;317
327;América-MG;América-MG;AME;327
341;CSA;CSA;CSA;341
344;Santa Cruz;Santa Cruz;SCZ;344
354;Ceará SC;Ceará;CEA;354
356;Fortaleza;Fortaleza;FOR;356
373;Atlético-GO;Atlético-GO;ATG;373
383;Paraná;Paraná;PAR;383
1371;Cuiabá;Cuiabá;CUI;1371
